Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,272.000000,273.309998,269.000000,271.339996,271.339996,2110
2020-03-12,265.000000,270.000000,242.350006,246.190002,246.190002,10849
2020-03-13,242.000000,262.989990,229.529999,258.500000,258.500000,2938
2020-03-16,256.489990,256.489990,239.000000,239.970001,239.970001,551723
2020-03-17,241.000000,241.190002,225.610001,227.339996,227.339996,4017
2020-03-18,230.000000,230.000000,206.830002,213.300003,213.300003,12097
2020-03-19,210.000000,211.850006,196.000000,205.240005,205.240005,12660
2020-03-20,203.000000,210.389999,197.000000,204.149994,204.149994,3695
2020-03-23,195.050003,196.000000,172.199997,174.779999,174.779999,1012347
2020-03-24,184.289993,188.000000,169.699997,175.320007,175.320007,11397
2020-03-25,179.000000,189.350006,173.759995,187.029999,187.029999,2585
2020-03-26,188.000000,206.619995,188.000000,198.190002,198.190002,5669
2020-03-27,200.000000,218.000000,196.970001,200.330002,200.330002,40883
2020-03-30,199.300003,199.500000,190.600006,191.619995,191.619995,239075
2020-03-31,196.000000,198.000000,191.309998,194.729996,194.729996,1996
2020-04-01,194.000000,194.000000,185.899994,187.110001,187.110001,1623
2020-04-03,186.199997,187.000000,174.089996,175.320007,175.320007,9595
2020-04-07,182.380005,192.509995,180.809998,192.199997,192.199997,8718
2020-04-08,187.850006,203.270004,187.100006,195.300003,195.300003,6688
2020-04-09,197.000000,199.320007,193.000000,198.759995,198.759995,5506
2020-04-13,199.490005,199.800003,193.550003,196.440002,196.440002,294712
2020-04-15,196.000000,202.070007,189.000000,191.330002,191.330002,6893
2020-04-16,188.979996,196.500000,188.979996,195.520004,195.520004,2189
2020-04-17,203.449997,227.000000,197.449997,211.130005,211.130005,13074
2020-04-20,212.000000,213.139999,206.039993,207.119995,207.119995,2858
2020-04-21,201.300003,201.440002,194.369995,198.229996,198.229996,9521
2020-04-22,198.199997,199.899994,192.509995,199.490005,199.490005,5960
2020-04-23,199.839996,204.309998,199.470001,203.169998,203.169998,5477
2020-04-24,202.000000,202.000000,195.800003,197.089996,197.089996,2829
2020-04-27,199.389999,203.000000,199.389999,201.759995,201.759995,1997
